Shop,Game,Bet Slips,First Slip Issued,Last Slip Issued,Currency,Paid In,Withholding Tax,Paid Out,Gross Win,GW Margin %,Winnings - Unpaid,Net Win,Net Win Margin %
Malvern,Multi-games,2114,2024/01/01 08:42,2024/01/28 20:24,ZAR,73127.68,0,-47614.93,25512.75,34.89,0.0,25512.75,34.89
Malvern,Lucky #1 (4min),2565,2024/01/01 06:14,2024/01/28 19:44,ZAR,15203.64,0,-11685.72,3517.92,23.14,0.0,3517.92,23.14
Malvern,Keno - Big 20,1965,2024/01/01 08:39,2024/01/28 19:18,ZAR,34757.63,0,-29378.35,5379.28,15.48,0.0,5379.28,15.48
Malvern,Numbers,8422,2024/01/01 08:14,2024/01/28 20:16,ZAR,243372.9,0,-166871.97,76500.93,31.43,0.0,76500.93,31.43
Malvern,SIS 15s & 39s,218,2024/01/01 07:19,2024/01/28 21:49,ZAR,6485.58,0,-4226.88,2258.7,34.83,0.0,2258.7,34.83
Malvern,BetGames Lucky 5,3437,2024/01/01 09:49,2024/01/28 21:40,ZAR,38349.83,0,-30714.97,7634.86,19.91,0.0,7634.86,19.91
Malvern,BetGames Lucky 6,407,2024/01/01 08:55,2024/01/28 20:16,ZAR,9002.38,0,-7012.14,1990.24,22.11,0.0,1990.24,22.11
Malvern,BetGames Lucky 7,4631,2024/01/01 06:32,2024/01/28 18:56,ZAR,84479.0,0,-58656.89,25822.11,30.57,0.0,25822.11,30.57
Malvern,Horse Racing,3106,2024/01/01 06:17,2024/01/28 20:12,ZAR,107388.72,0,-99829.82,7558.9,7.04,0.0,7558.9,7.04
Malvern,1904,4292,2024/01/01 06:52,2024/01/28 20:17,ZAR,114614.67,0,-104796.53,9818.14,8.57,0.0,9818.14,8.57
Malvern,1906,4809,2024/01/01 08:50,2024/01/28 21:40,ZAR,165501.92,0,-126172.07,39329.85,23.76,0.0,39329.85,23.76
Malvern,Live,1446,2024/01/01 08:36,2024/01/28 18:18,ZAR,34940.48,0,-28298.4,6642.08,19.01,0.0,6642.08,19.01
Malvern,Prematch,2981,2024/01/01 07:27,2024/01/28 21:40,ZAR,78751.6,0,-72830.13,5921.47,7.52,0.0,5921.47,7.52
Potchefstroom,Multi-games,1285,2024/01/01 07:48,2024/01/28 20:16,ZAR,32362.74,0,-21292.39,11070.35,34.21,0.0,11070.35,34.21
Potchefstroom,Lucky #1 (4min),2720,2024/01/01 07:32,2024/01/28 18:45,ZAR,57581.06,0,-41798.52,15782.54,27.41,0.0,15782.54,27.41
Potchefstroom,Keno - Big 20,725,2024/01/01 08:39,2024/01/28 19:21,ZAR,8269.12,0,-7406.96,862.16,10.43,0.0,862.16,10.43
Potchefstroom,Numbers,62997,2024/01/01 08:16,2024/01/28 19:58,ZAR,1913858.91,0,-1428694.87,485164.04,25.35,0.0,485164.04,25.35
Potchefstroom,SIS 15s & 39s,2744,2024/01/01 08:38,2024/01/28 18:18,ZAR,60667.74,0,-48170.49,12497.25,20.6,0.0,12497.25,20.6
Potchefstroom,BetGames Lucky 5,1001,2024/01/01 08:20,2024/01/28 19:55,ZAR,21327.06,0,-20236.13,1090.93,5.12,0.0,1090.93,5.12
Potchefstroom,BetGames Lucky 6,3357,2024/01/01 07:31,2024/01/28 19:17,ZAR,105701.68,0,-83944.18,21757.5,20.58,0.0,21757.5,20.58
Potchefstroom,BetGames Lucky 7,4051,2024/01/01 08:16,2024/01/28 21:16,ZAR,100228.2,0,-77442.37,22785.83,22.73,0.0,22785.83,22.73
Potchefstroom,Horse Racing,1861,2024/01/01 09:51,2024/01/28 18:40,ZAR,10801.42,0,-7565.46,3235.96,29.96,0.0,3235.96,29.96
Potchefstroom,1904,2567,2024/01/01 09:45,2024/01/28 21:54,ZAR,70507.86,0,-49948.56,20559.3,29.16,0.0,20559.3,29.16
Potchefstroom,1906,1523,2024/01/01 07:46,2024/01/28 19:55,ZAR,30944.07,0,-27781.68,3162.39,10.22,0.0,3162.39,10.22
Potchefstroom,Live,741,2024/01/01 09:15,2024/01/28 21:23,ZAR,24958.19,0,-20194.05,4764.14,19.09,0.0,4764.14,19.09
Potchefstroom,Prematch,2789,2024/01/01 07:46,2024/01/28 21:34,ZAR,101072.53,0,-73725.2,27347.33,27.06,0.0,27347.33,27.06
Pretoria,Multi-games,1603,2024/01/01 09:58,2024/01/28 19:42,ZAR,46698.68,0,-34299.61,12399.07,26.55,0.0,12399.07,26.55
Pretoria,Lucky #1 (4min),1255,2024/01/01 06:22,2024/01/28 19:24,ZAR,29654.73,0,-26305.86,3348.87,11.29,0.0,3348.87,11.29
Pretoria,Keno - Big 20,3023,2024/01/01 09:33,2024/01/28 19:56,ZAR,99784.21,0,-65433.55,34350.66,34.42,0.0,34350.66,34.42
Pretoria,Numbers,30442,2024/01/01 06:35,2024/01/28 18:39,ZAR,663890.82,0,-495524.25,168366.57,25.36,0.0,168366.57,25.36
Pretoria,SIS 15s & 39s,1320,2024/01/01 07:53,2024/01/28 21:14,ZAR,46395.72,0,-37422.08,8973.64,19.34,60.94,8912.7,19.21
Pretoria,BetGames Lucky 5,26,2024/01/01 06:21,2024/01/28 20:11,ZAR,521.38,0,-457.97,63.41,12.16,0.91,62.5,11.99
Pretoria,BetGames Lucky 6,1552,2024/01/01 09:55,2024/01/28 21:36,ZAR,10386.46,0,-9002.98,1383.48,13.32,26.77,1356.71,13.06
Pretoria,BetGames Lucky 7,2424,2024/01/01 08:36,2024/01/28 19:11,ZAR,54053.48,0,-42793.39,11260.09,20.83,0.0,11260.09,20.83
Pretoria,Horse Racing,1712,2024/01/01 08:45,2024/01/28 19:40,ZAR,29620.87,0,-27215.06,2405.81,8.12,21.02,2384.79,8.05
Pretoria,1904,3625,2024/01/01 06:12,2024/01/28 20:44,ZAR,37458.99,0,-29430.71,8028.28,21.43,0.0,8028.28,21.43
Pretoria,1906,1352,2024/01/01 07:26,2024/01/28 18:58,ZAR,49435.86,0,-34945.65,14490.21,29.31,0.0,14490.21,29.31
Pretoria,Live,1804,2024/01/01 09:39,2024/01/28 18:40,ZAR,31390.63,0,-26949.52,4441.11,14.15,68.91,4372.2,13.93
Pretoria,Prematch,1430,2024/01/01 08:15,2024/01/28 21:10,ZAR,33936.97,0,-28700.78,5236.19,15.43,0.0,5236.19,15.43
Randburg,Multi-games,3250,2024/01/01 08:47,2024/01/28 20:38,ZAR,62858.16,0,-48717.0,14141.16,22.5,0.0,14141.16,22.5
Randburg,Lucky #1 (4min),518,2024/01/01 07:18,2024/01/28 20:13,ZAR,13773.04,0,-10834.47,2938.57,21.34,57.81,2880.76,20.92
Randburg,Keno - Big 20,921,2024/01/01 09:13,2024/01/28 19:55,ZAR,29109.63,0,-21259.45,7850.18,26.97,0.0,7850.18,26.97
Randburg,Numbers,8106,2024/01/01 06:20,2024/01/28 18:39,ZAR,80566.47,0,-61618.53,18947.94,23.52,0.0,18947.94,23.52
Randburg,SIS 15s & 39s,1582,2024/01/01 09:47,2024/01/28 18:27,ZAR,19898.63,0,-12989.28,6909.35,34.72,66.81,6842.54,34.39
Randburg,BetGames Lucky 5,2754,2024/01/01 08:38,2024/01/28 21:55,ZAR,106463.61,0,-81054.89,25408.72,23.87,0.0,25408.72,23.87
Randburg,BetGames Lucky 6,3012,2024/01/01 08:19,2024/01/28 19:52,ZAR,18653.77,0,-14708.55,3945.22,21.15,0.0,3945.22,21.15
Randburg,BetGames Lucky 7,1753,2024/01/01 07:26,2024/01/28 21:45,ZAR,27318.73,0,-23301.56,4017.17,14.7,0.0,4017.17,14.7
Randburg,Horse Racing,4836,2024/01/01 07:43,2024/01/28 20:26,ZAR,169669.87,0,-121827.43,47842.44,28.2,0.0,47842.44,28.2
Randburg,1904,4162,2024/01/01 09:10,2024/01/28 20:30,ZAR,22933.17,0,-18539.35,4393.82,19.16,0.0,4393.82,19.16
Randburg,1906,1613,2024/01/01 06:52,2024/01/28 19:39,ZAR,30940.01,0,-27503.93,3436.08,11.11,0.0,3436.08,11.11
Randburg,Live,2162,2024/01/01 06:45,2024/01/28 21:25,ZAR,77423.89,0,-65904.74,11519.15,14.88,0.0,11519.15,14.88
Randburg,Prematch,3253,2024/01/01 07:22,2024/01/28 18:17,ZAR,20386.6,0,-13810.35,6576.25,32.26,0.0,6576.25,32.26
White River,Multi-games,1682,2024/01/01 07:29,2024/01/28 18:38,ZAR,59876.01,0,-49071.17,10804.84,18.05,0.0,10804.84,18.05
White River,Lucky #1 (4min),4048,2024/01/01 08:25,2024/01/28 18:31,ZAR,42559.22,0,-39324.23,3234.99,7.6,0.0,3234.99,7.6
White River,Keno - Big 20,3746,2024/01/01 08:24,2024/01/28 19:25,ZAR,145855.09,0,-105058.8,40796.29,27.97,21.8,40774.49,27.96
White River,Numbers,32155,2024/01/01 06:24,2024/01/28 20:19,ZAR,185346.26,0,-133909.13,51437.13,27.75,0.0,51437.13,27.75
White River,SIS 15s & 39s,4731,2024/01/01 06:48,2024/01/28 19:54,ZAR,35261.71,0,-23096.7,12165.01,34.5,0.0,12165.01,34.5
White River,BetGames Lucky 5,2725,2024/01/01 08:20,2024/01/28 20:13,ZAR,27675.2,0,-24788.64,2886.56,10.43,7.58,2878.98,10.4
White River,BetGames Lucky 6,4523,2024/01/01 08:59,2024/01/28 21:28,ZAR,145512.44,0,-124170.47,21341.97,14.67,0.0,21341.97,14.67
White River,BetGames Lucky 7,2758,2024/01/01 07:10,2024/01/28 21:56,ZAR,86339.87,0,-78832.63,7507.24,8.69,0.0,7507.24,8.69
White River,Horse Racing,422,2024/01/01 06:53,2024/01/28 19:42,ZAR,9521.99,0,-6976.69,2545.3,26.73,0.0,2545.3,26.73
White River,1904,2776,2024/01/01 07:30,2024/01/28 19:50,ZAR,29970.42,0,-25971.48,3998.94,13.34,0.0,3998.94,13.34
White River,1906,2746,2024/01/01 06:53,2024/01/28 18:49,ZAR,86589.61,0,-58903.46,27686.15,31.97,367.46,27318.69,31.55
White River,Live,3121,2024/01/01 06:17,2024/01/28 19:38,ZAR,105032.48,0,-98353.98,6678.5,6.36,88.85,6589.65,6.27
White River,Prematch,3055,2024/01/01 06:59,2024/01/28 21:28,ZAR,39306.97,0,-25895.17,13411.8,34.12,0.0,13411.8,34.12
Malvern,Multi-games,4112,2024/02/01 09:59,2024/02/28 19:43,ZAR,33181.65,0,-25384.13,7797.52,23.5,0.0,7797.52,23.5
Malvern,Lucky #1 (4min),3739,2024/02/01 09:28,2024/02/28 18:29,ZAR,29134.09,0,-23907.57,5226.52,17.94,0.0,5226.52,17.94
Malvern,Keno - Big 20,957,2024/02/01 06:41,2024/02/28 19:29,ZAR,25734.89,0,-20681.8,5053.09,19.64,0.0,5053.09,19.64
Malvern,Numbers,25943,2024/02/01 08:57,2024/02/28 21:34,ZAR,962108.02,0,-827897.38,134210.64,13.95,0.0,134210.64,13.95
Malvern,SIS 15s & 39s,922,2024/02/01 08:22,2024/02/28 19:22,ZAR,30301.97,0,-25473.14,4828.83,15.94,0.0,4828.83,15.94
Malvern,BetGames Lucky 5,2405,2024/02/01 09:30,2024/02/28 21:18,ZAR,15277.65,0,-13636.67,1640.98,10.74,0.0,1640.98,10.74
Malvern,BetGames Lucky 6,1583,2024/02/01 07:16,2024/02/28 20:38,ZAR,25638.54,0,-21700.2,3938.34,15.36,56.31,3882.03,15.14
Malvern,BetGames Lucky 7,4095,2024/02/01 06:43,2024/02/28 20:57,ZAR,132818.21,0,-96885.86,35932.35,27.05,167.75,35764.6,26.93
Malvern,Horse Racing,2636,2024/02/01 06:32,2024/02/28 19:13,ZAR,33703.43,0,-25530.92,8172.51,24.25,0.0,8172.51,24.25
Malvern,1904,4003,2024/02/01 06:57,2024/02/28 21:53,ZAR,147077.02,0,-100175.51,46901.51,31.89,0.0,46901.51,31.89
Malvern,1906,3284,2024/02/01 08:16,2024/02/28 18:19,ZAR,59724.14,0,-47723.2,12000.94,20.09,0.0,12000.94,20.09
Malvern,Live,3415,2024/02/01 06:55,2024/02/28 20:19,ZAR,62488.89,0,-52024.43,10464.46,16.75,0.0,10464.46,16.75
Malvern,Prematch,3161,2024/02/01 07:42,2024/02/28 18:11,ZAR,36924.38,0,-30344.65,6579.73,17.82,0.0,6579.73,17.82
Potchefstroom,Multi-games,4766,2024/02/01 08:14,2024/02/28 18:20,ZAR,63024.58,0,-54011.89,9012.69,14.3,0.0,9012.69,14.3
Potchefstroom,Lucky #1 (4min),3483,2024/02/01 08:18,2024/02/28 19:24,ZAR,71276.75,0,-67351.92,3924.83,5.51,0.0,3924.83,5.51
Potchefstroom,Keno - Big 20,3534,2024/02/01 09:18,2024/02/28 21:36,ZAR,122833.41,0,-83442.09,39391.32,32.07,0.0,39391.32,32.07
Potchefstroom,Numbers,92801,2024/02/01 09:53,2024/02/28 18:20,ZAR,2525501.32,0,-1731581.62,793919.7,31.44,0.0,793919.7,31.44
Potchefstroom,SIS 15s & 39s,4732,2024/02/01 09:19,2024/02/28 18:13,ZAR,39242.98,0,-32337.79,6905.19,17.6,43.74,6861.45,17.48
Potchefstroom,BetGames Lucky 5,4509,2024/02/01 09:29,2024/02/28 19:11,ZAR,25357.16,0,-21234.31,4122.85,16.26,0.0,4122.85,16.26
Potchefstroom,BetGames Lucky 6,1437,2024/02/01 08:19,2024/02/28 18:15,ZAR,44713.93,0,-35811.3,8902.63,19.91,0.0,8902.63,19.91
Potchefstroom,BetGames Lucky 7,2332,2024/02/01 07:53,2024/02/28 19:10,ZAR,91806.65,0,-85021.87,6784.78,7.39,0.0,6784.78,7.39
Potchefstroom,Horse Racing,4811,2024/02/01 09:53,2024/02/28 18:49,ZAR,51865.89,0,-43590.72,8275.17,15.95,0.0,8275.17,15.95
Potchefstroom,1904,3874,2024/02/01 07:36,2024/02/28 18:36,ZAR,44357.61,0,-30356.61,14001.0,31.56,0.0,14001.0,31.56
